"Source","Target","Citation.Count","Source.Type","Source.Year","Edge.Type"
28334140,25583365,27,"Identification",2018,"Identification"
28334140,26076956,27,"Identification",2018,"Identification"
28334140,26556385,27,"Identification",2018,"Identification"
28334140,26657634,27,"Identification",2018,"Identification"
28334140,26873924,27,"Identification",2018,"Identification"
28334140,27350239,27,"Identification",2018,"Identification"
30660194,29556495,2,"Other",2019,"Other"
30660194,29338875,2,"Other",2019,"Other"
30660194,28854373,2,"Other",2019,"Other"
30660194,28594838,2,"Other",2019,"Other"
30660194,28334140,2,"Other",2019,"Other"
30660194,28265491,2,"Other",2019,"Other"
30660194,27739910,2,"Other",2019,"Other"
30660194,27365365,2,"Other",2019,"Other"
30660194,27350239,2,"Other",2019,"Other"
30660194,26076956,2,"Other",2019,"Other"
30660194,25583365,2,"Other",2019,"Other"
30660194,25242744,2,"Other",2019,"Other"
30660194,23446348,2,"Other",2019,"Other"
29322451,21037263,2,"Identification",2018,"Identification"
29322451,23446348,2,"Identification",2018,"Identification"
29322451,24297251,2,"Identification",2018,"Identification"
29322451,24811520,2,"Identification",2018,"Identification"
29322451,25242744,2,"Identification",2018,"Identification"
29322451,26590255,2,"Identification",2018,"Identification"
29322451,27739534,2,"Identification",2018,"Identification"
26556385,24811520,33,"Identification",2016,"Identification"
26556385,25544350,33,"Identification",2016,"Identification"
26556385,25583365,33,"Identification",2016,"Identification"
26556385,26076956,33,"Identification",2016,"Identification"
28265491,25583365,8,"Identification",2017,"Identification"
28265491,25242744,8,"Identification",2017,"Identification"
28265491,26556385,8,"Identification",2017,"Identification"
28265491,23446348,8,"Identification",2017,"Identification"
28265491,26076956,8,"Identification",2017,"Identification"
28096075,26556385,4,"Identification",2018,"Identification"
26076956,25544350,94,"Identification",2015,"Identification"
26076956,25583365,94,"Identification",2015,"Identification"
26076956,23446348,94,"Identification",2015,"Identification"
26076956,24811520,94,"Identification",2015,"Identification"
26076956,24512684,94,"Identification",2015,"Identification"
26076956,25242744,94,"Identification",2015,"Identification"
27167008,26201400,13,"Identification",2016,"Identification"
27167008,23446348,13,"Identification",2016,"Identification"
27167008,25583365,13,"Identification",2016,"Identification"
26442529,24512684,25,"Identification",2016,"Identification"
26442529,25242744,25,"Identification",2016,"Identification"
26442529,25234927,25,"Identification",2016,"Identification"
26442529,25544350,25,"Identification",2016,"Identification"
26442529,25583365,25,"Identification",2016,"Identification"
26442529,26230526,25,"Identification",2016,"Identification"
26442529,20802226,25,"Identification",2016,"Identification"
26442529,23446348,25,"Identification",2016,"Identification"
26442529,24811520,25,"Identification",2016,"Identification"
27493192,24811520,4,"Identification",2016,"Identification"
27493192,26442529,4,"Identification",2016,"Identification"
27493192,25242744,4,"Identification",2016,"Identification"
27493192,23446348,4,"Identification",2016,"Identification"
27493192,26076956,4,"Identification",2016,"Identification"
27493192,20802226,4,"Identification",2016,"Identification"
27493192,24512684,4,"Identification",2016,"Identification"
27493192,26028480,4,"Identification",2016,"Identification"
29280994,25583365,2,"Identification",2018,"Identification"
26028480,23446348,8,"Identification",2015,"Identification"
26028480,24811520,8,"Identification",2015,"Identification"
26028480,25234927,8,"Identification",2015,"Identification"
26028480,25544350,8,"Identification",2015,"Identification"
26917277,23446348,2,"Identification",2016,"Identification"
26917277,25234927,2,"Identification",2016,"Identification"
26917277,26028480,2,"Identification",2016,"Identification"
26758031,23446348,7,"Identification",2016,"Identification"
26758031,24811520,7,"Identification",2016,"Identification"
26758031,24512684,7,"Identification",2016,"Identification"
26758031,25234927,7,"Identification",2016,"Identification"
26758031,25544350,7,"Identification",2016,"Identification"
26758031,25583365,7,"Identification",2016,"Identification"
26758031,20802226,7,"Identification",2016,"Identification"
29039477,25583365,3,"Identification",2017,"Identification"
29039477,26556385,3,"Identification",2017,"Identification"
29039477,23446348,3,"Identification",2017,"Identification"
29039477,26076956,3,"Identification",2017,"Identification"
29039477,20802226,3,"Identification",2017,"Identification"
29039477,26657634,3,"Identification",2017,"Identification"
29039477,24339831,3,"Identification",2017,"Identification"
29039477,19750212,3,"Identification",2017,"Identification"
29039477,27365365,3,"Identification",2017,"Identification"
29039477,27929140,3,"Identification",2017,"Identification"
29039477,26669964,3,"Identification",2017,"Identification"
29039477,27739534,3,"Identification",2017,"Identification"
29039477,25242744,3,"Identification",2017,"Identification"
29039477,26450965,3,"Identification",2017,"Identification"
29039477,25544350,3,"Identification",2017,"Identification"
29039477,27350239,3,"Identification",2017,"Identification"
29548336,24811520,4,"Identification",2018,"Identification"
29548336,26442529,4,"Identification",2018,"Identification"
29548336,27365365,4,"Identification",2018,"Identification"
24512684,23446348,69,"Identification",2014,"Identification"
24512684,20802226,69,"Identification",2014,"Identification"
24512684,19750212,69,"Identification",2014,"Identification"
29474638,25583365,0,"Identification",2018,"Identification"
29474638,23446348,0,"Identification",2018,"Identification"
29474638,20802226,0,"Identification",2018,"Identification"
29474638,26657634,0,"Identification",2018,"Identification"
29474638,27365365,0,"Identification",2018,"Identification"
29474638,25544350,0,"Identification",2018,"Identification"
26201400,23446348,54,"Identification",2015,"Identification"
26201400,24811520,54,"Identification",2015,"Identification"
26201400,25242744,54,"Identification",2015,"Identification"
27315811,26201400,35,"Identification",2016,"Identification"
27315811,24811520,35,"Identification",2016,"Identification"
27315811,25242744,35,"Identification",2016,"Identification"
27315811,23446348,35,"Identification",2016,"Identification"
27315811,26076956,35,"Identification",2016,"Identification"
27315811,25544350,35,"Identification",2016,"Identification"
26873924,25583365,70,"Identification",2016,"Identification"
26873924,23446348,70,"Identification",2016,"Identification"
26873924,24811520,70,"Identification",2016,"Identification"
26873924,24512684,70,"Identification",2016,"Identification"
26873924,25242744,70,"Identification",2016,"Identification"
26873924,25234927,70,"Identification",2016,"Identification"
30404245,24811520,1,"Identification",2018,"Identification"
30404245,23446348,1,"Identification",2018,"Identification"
30404245,26657634,1,"Identification",2018,"Identification"
30404245,24339831,1,"Identification",2018,"Identification"
30404245,26028480,1,"Identification",2018,"Identification"
30404245,28594838,1,"Identification",2018,"Identification"
30404245,25242744,1,"Identification",2018,"Identification"
30404245,25234927,1,"Identification",2018,"Identification"
28968841,23446348,1,"Database",2019,"Database"
28968841,24339831,1,"Database",2019,"Database"
28968841,24811520,1,"Database",2019,"Database"
28968841,25234927,1,"Database",2019,"Database"
28968841,25583365,1,"Database",2019,"Database"
28968841,26201400,1,"Database",2019,"Database"
28968841,26450965,1,"Database",2019,"Database"
28968841,27350239,1,"Database",2019,"Database"
28968841,27365365,1,"Database",2019,"Database"
28968841,27543790,1,"Database",2019,"Database"
28968841,27725737,1,"Database",2019,"Database"
28968841,28315753,1,"Database",2019,"Database"
25234927,24512684,210,"Database",2014,"Database"
25234927,23446348,210,"Database",2014,"Database"
25234927,24811520,210,"Database",2014,"Database"
26669964,23446348,92,"Database",2016,"Database"
26669964,24297251,92,"Database",2016,"Database"
26669964,25234927,92,"Database",2016,"Database"
29322439,26669964,2,"Database",2018,"Database"
29322439,25234927,2,"Database",2018,"Database"
26450965,21037263,70,"Database",2016,"Database"
26450965,23446348,70,"Database",2016,"Database"
26450965,24811520,70,"Database",2016,"Database"
26450965,26076956,70,"Database",2016,"Database"
26450965,25242744,70,"Database",2016,"Database"
26450965,25234927,70,"Database",2016,"Database"
26450965,25544350,70,"Database",2016,"Database"
26450965,25583365,70,"Database",2016,"Database"
27365365,24811520,83,"Database",2016,"Database"
27365365,25242744,83,"Database",2016,"Database"
27365365,27068474,83,"Database",2016,"Database"
27365365,23446348,83,"Database",2016,"Database"
27365365,26657634,83,"Database",2016,"Database"
27365365,24512684,83,"Database",2016,"Database"
27365365,25544350,83,"Database",2016,"Database"
30172046,23446348,3,"Database",2018,"Database"
30172046,27725737,3,"Database",2018,"Database"
30172046,20802226,3,"Database",2018,"Database"
30172046,26657634,3,"Database",2018,"Database"
30172046,29036403,3,"Database",2018,"Database"
30172046,27068474,3,"Database",2018,"Database"
30172046,27365365,3,"Database",2018,"Database"
30172046,25544350,3,"Database",2018,"Database"
30172046,25242744,3,"Database",2018,"Database"
30172046,25234927,3,"Database",2018,"Database"
30172046,29338875,3,"Database",2018,"Database"
30172046,27350239,3,"Database",2018,"Database"
27725737,24811520,47,"Database",2016,"Database"
27725737,24297251,47,"Database",2016,"Database"
27725737,25242744,47,"Database",2016,"Database"
27725737,23446348,47,"Database",2016,"Database"
27725737,24339831,47,"Database",2016,"Database"
27725737,26873924,47,"Database",2016,"Database"
27725737,25234927,47,"Database",2016,"Database"
22144203,19966272,8,"Database",2012,"Database"
26590255,24811520,53,"Database",2016,"Database"
26590255,24297251,53,"Database",2016,"Database"
26590255,23446348,53,"Database",2016,"Database"
26590255,19966272,53,"Database",2016,"Database"
26590255,25234927,53,"Database",2016,"Database"
28575165,26201400,9,"Database",2017,"Database"
28575165,24811520,9,"Database",2017,"Database"
28575165,26578591,9,"Database",2017,"Database"
28575165,25583365,9,"Database",2017,"Database"
28575165,27315811,9,"Database",2017,"Database"
28575165,23446348,9,"Database",2017,"Database"
28575165,26230526,9,"Database",2017,"Database"
28575165,26076956,9,"Database",2017,"Database"
28575165,24339831,9,"Database",2017,"Database"
28575165,26669964,9,"Database",2017,"Database"
28575165,25242744,9,"Database",2017,"Database"
28575165,25234927,9,"Database",2017,"Database"
28575165,26590255,9,"Database",2017,"Database"
28575165,26450965,9,"Database",2017,"Database"
28575165,25544350,9,"Database",2017,"Database"
28315753,23446348,16,"Database",2017,"Database"
28315753,25234927,16,"Database",2017,"Database"
28315753,26450965,16,"Database",2017,"Database"
28315753,27725737,16,"Database",2017,"Database"
28315753,27739910,16,"Database",2017,"Database"
30445438,23446348,3,"Database",2018,"Database"
30445438,24512684,3,"Database",2018,"Database"
30445438,24811520,3,"Database",2018,"Database"
30445438,25234927,3,"Database",2018,"Database"
30445438,25242744,3,"Database",2018,"Database"
30445438,25544350,3,"Database",2018,"Database"
30445438,25583365,3,"Database",2018,"Database"
30445438,26076956,3,"Database",2018,"Database"
30445438,26201400,3,"Database",2018,"Database"
30445438,26230526,3,"Database",2018,"Database"
30445438,27350239,3,"Database",2018,"Database"
30445438,27365365,3,"Database",2018,"Database"
30445438,27493192,3,"Database",2018,"Database"
30445438,27725737,3,"Database",2018,"Database"
30445438,27739534,3,"Database",2018,"Database"
30445438,27739534,3,"Database",2018,"Database"
30445438,27739910,3,"Database",2018,"Database"
30445438,28315753,3,"Database",2018,"Database"
30445438,28334140,3,"Database",2018,"Database"
30445438,28575165,3,"Database",2018,"Database"
30445438,28594838,3,"Database",2018,"Database"
30445438,28968841,3,"Database",2018,"Database"
30445438,29322436,3,"Database",2018,"Database"
30445438,29338875,3,"Database",2018,"Database"
30689723,27493192,0,"Other",2019,"Other"
30689723,28315753,0,"Other",2019,"Other"
30689723,29280994,0,"Other",2019,"Other"
30689723,24512684,0,"Other",2019,"Other"
30689723,23446348,0,"Other",2019,"Other"
30689723,20802226,0,"Other",2019,"Other"
30689723,27739910,0,"Other",2019,"Other"
30689723,28968841,0,"Other",2019,"Other"
30689723,27365365,0,"Other",2019,"Other"
27739910,26201400,10,"Identification",2017,"Identification"
27739910,24811520,10,"Identification",2017,"Identification"
27739910,25583365,10,"Identification",2017,"Identification"
27739910,23446348,10,"Identification",2017,"Identification"
27739910,26230526,10,"Identification",2017,"Identification"
27739910,26076956,10,"Identification",2017,"Identification"
27739910,20802226,10,"Identification",2017,"Identification"
27739910,26657634,10,"Identification",2017,"Identification"
27739910,24512684,10,"Identification",2017,"Identification"
27739910,25242744,10,"Identification",2017,"Identification"
27739910,25234927,10,"Identification",2017,"Identification"
27739910,25544350,10,"Identification",2017,"Identification"
29322436,23446348,0,"Other",2018,"Other"
29322436,19750212,0,"Other",2018,"Other"
29322436,25583365,0,"Other",2018,"Other"
29322436,24512684,0,"Other",2018,"Other"
29322436,25242744,0,"Other",2018,"Other"
29322436,26076956,0,"Other",2018,"Other"
29322436,27350239,0,"Other",2018,"Other"
29322436,28334140,0,"Other",2018,"Other"
30735636,27725737,6,"Other",2019,"Other"
30735636,30172046,6,"Other",2019,"Other"
30735636,25234927,6,"Other",2019,"Other"
30735636,26657634,6,"Other",2019,"Other"
30735636,29036403,6,"Other",2019,"Other"
30735636,25242744,6,"Other",2019,"Other"
30606103,28594838,0,"Identification",2019,"Identification"
30606103,26873924,0,"Identification",2019,"Identification"
30606103,26657634,0,"Identification",2019,"Identification"
