"Source","Target","Citation.Count","Source.Type","Source.Year"
30478938,30478938,0,"Paper",2018
30471855,30471855,0,"Paper",2019
30470570,30470570,0,"Paper",2019
30470262,30470262,0,"Paper",2018
30470262,26138677,0,"Paper",2018
30470262,27613831,0,"Paper",2018
30470262,22140119,0,"Paper",2018
30470262,23446348,0,"Paper",2018
30470262,27058418,0,"Paper",2018
30470262,28903484,0,"Paper",2018
30470262,24039610,0,"Paper",2018
30470262,29967262,0,"Paper",2018
30470262,23249747,0,"Paper",2018
30470262,27752108,0,"Paper",2018
30470262,29337055,0,"Paper",2018
30470262,27449861,0,"Paper",2018
30468655,30468655,0,"Paper",2019
30468459,30468459,0,"Paper",2018
30461077,30461077,0,"Paper",2018
30460608,30460608,0,"Paper",2019
30460243,30460243,0,"Paper",2018
30460243,27539542,0,"Paper",2018
30460243,29116363,0,"Paper",2018
30460243,22319583,0,"Paper",2018
30460243,28653984,0,"Paper",2018
30460243,27246710,0,"Paper",2018
30458784,30458784,0,"Paper",2018
30458784,26138677,0,"Paper",2018
30458784,27050392,0,"Paper",2018
30458784,23446348,0,"Paper",2018
30458784,29454093,0,"Paper",2018
30458784,28794202,0,"Paper",2018
30458784,25746834,0,"Paper",2018
30458784,29386015,0,"Paper",2018
30458784,23446346,0,"Paper",2018
30458784,29549306,0,"Paper",2018
30458784,25234927,0,"Paper",2018
30458784,28893265,0,"Paper",2018
30458645,30458645,0,"Paper",2018
30455306,30455306,0,"Paper",2018
30454897,30454897,0,"Paper",2018
30454010,30454010,0,"Paper",2018
30454010,28687357,0,"Paper",2018
30454010,26802132,0,"Paper",2018
30454010,27986464,0,"Paper",2018
30454010,29406246,0,"Paper",2018
30454010,25921068,0,"Paper",2018
30454010,29378234,0,"Paper",2018
30454010,28991235,0,"Paper",2018
30454010,23446348,0,"Paper",2018
30454010,29626935,0,"Paper",2018
30454010,24014594,0,"Paper",2018
30454010,29386015,0,"Paper",2018
30454010,28081541,0,"Paper",2018
30454010,25768908,0,"Paper",2018
30454010,28520103,0,"Paper",2018
30454010,23249747,0,"Paper",2018
30454010,29074849,0,"Paper",2018
30454010,28174233,0,"Paper",2018
30454010,23446346,0,"Paper",2018
30454010,25242144,0,"Paper",2018
30454010,29549306,0,"Paper",2018
30454010,25242744,0,"Paper",2018
30454010,25234927,0,"Paper",2018
30453307,30453307,0,"Paper",2018
30451678,30451678,0,"Paper",2018
30448461,30448461,0,"Paper",2018
30446877,30446877,0,"Paper",2019
30446675,30446675,0,"Paper",2018
30446675,26138677,0,"Paper",2018
30446675,27050392,0,"Paper",2018
30446675,26846540,0,"Paper",2018
30446675,25921068,0,"Paper",2018
30446675,25583365,0,"Paper",2018
30446675,25999984,0,"Paper",2018
30446675,23446348,0,"Paper",2018
30446675,24014594,0,"Paper",2018
30446675,25543144,0,"Paper",2018
30446675,25558066,0,"Paper",2018
30446675,25728652,0,"Paper",2018
30446675,24427167,0,"Paper",2018
30446675,22319583,0,"Paper",2018
30446675,28344080,0,"Paper",2018
30446675,25376581,0,"Paper",2018
30446675,25624062,0,"Paper",2018
30446675,26485708,0,"Paper",2018
30446675,24609083,0,"Paper",2018
30446675,26541409,0,"Paper",2018
30446675,24039610,0,"Paper",2018
30446675,27899615,0,"Paper",2018
30446675,27047251,0,"Paper",2018
30446675,28281539,0,"Paper",2018
30446675,23249747,0,"Paper",2018
30446675,27616979,0,"Paper",2018
30446675,23446346,0,"Paper",2018
30446675,25242144,0,"Paper",2018
30446675,25544350,0,"Paper",2018
30446675,27958329,0,"Paper",2018
30446675,25242744,0,"Paper",2018
30446675,28344082,0,"Paper",2018
30446675,25070500,0,"Paper",2018
30446675,25714049,0,"Paper",2018
30444648,30444648,0,"Paper",2018
30444423,30444423,0,"Paper",2019
30443988,30443988,0,"Paper",2018
30442201,30442201,0,"Paper",2018
30442201,26845359,0,"Paper",2018
30442201,27050392,0,"Paper",2018
30442201,25921068,0,"Paper",2018
30442201,29322440,0,"Paper",2018
30442201,23446348,0,"Paper",2018
30442201,29655315,0,"Paper",2018
30442201,25690898,0,"Paper",2018
30442201,29495353,0,"Paper",2018
30442201,27510448,0,"Paper",2018
30442201,28080204,0,"Paper",2018
30442201,23249747,0,"Paper",2018
30442201,27365365,0,"Paper",2018
30442201,23446346,0,"Paper",2018
30442201,28086788,0,"Paper",2018
30442201,25242144,0,"Paper",2018
30442201,26861625,0,"Paper",2018
30431032,30431032,0,"Paper",2018
30428483,30428483,0,"Paper",2018
30426758,30426758,0,"Paper",2019
30426540,30426540,0,"Paper",2018
30425709,30425709,0,"Paper",2018
30425709,28485684,0,"Paper",2018
30425709,28969093,0,"Paper",2018
30425709,28018143,0,"Paper",2018
30425709,29109781,0,"Paper",2018
30425709,26861625,0,"Paper",2018
30425578,30425578,0,"Paper",2018
30425578,28991235,0,"Paper",2018
30425578,28839467,0,"Paper",2018
30425578,28798046,0,"Paper",2018
30425578,27391479,0,"Paper",2018
30425578,25746834,0,"Paper",2018
30425578,29902450,0,"Paper",2018
30425578,29396373,0,"Paper",2018
30425578,26177684,0,"Paper",2018
30425578,29635069,0,"Paper",2018
30425578,29887952,0,"Paper",2018
30425578,28174233,0,"Paper",2018
30425526,30425526,0,"Paper",2018
30425526,27829232,0,"Paper",2018
30425526,26052092,0,"Paper",2018
30425526,25689795,0,"Paper",2018
30425526,26600397,0,"Paper",2018
30425526,29260931,0,"Paper",2018
30425526,23446348,0,"Paper",2018
30425526,28721656,0,"Paper",2018
30425526,27058418,0,"Paper",2018
30425526,25624062,0,"Paper",2018
30425526,28368401,0,"Paper",2018
30425526,28343871,0,"Paper",2018
30425526,28535767,0,"Paper",2018
30425526,26931159,0,"Paper",2018
30425526,29785229,0,"Paper",2018
30425526,23446346,0,"Paper",2018
30425526,28657541,0,"Paper",2018
30425526,28143578,0,"Paper",2018
30425526,27671698,0,"Paper",2018
30424877,30424877,0,"Paper",2018
30424816,30424816,0,"Paper",2018
30424816,30139516,0,"Paper",2018
30424816,30053867,0,"Paper",2018
30424816,30099455,0,"Paper",2018
30424816,29969755,0,"Paper",2018
30424816,30153287,0,"Paper",2018
30424816,29928882,0,"Paper",2018
30424816,23446348,0,"Paper",2018
30424816,29847813,0,"Paper",2018
30424816,30146736,0,"Paper",2018
30424816,30069275,0,"Paper",2018
30424816,30190130,0,"Paper",2018
30424816,30007986,0,"Paper",2018
30424816,30103946,0,"Paper",2018
30424816,29842886,0,"Paper",2018
30424816,30134837,0,"Paper",2018
30423261,30423261,0,"Paper",2018
30422310,30422310,0,"Paper",2018
30419346,30419346,0,"Paper",2019
30417652,30417652,0,"Paper",2019
30417526,30417526,0,"Paper",2018
30417418,30417418,0,"Paper",2019
30416748,30416748,0,"Paper",2018
30416748,27986464,0,"Paper",2018
30416748,25583365,0,"Paper",2018
30416748,23446348,0,"Paper",2018
30416748,24014594,0,"Paper",2018
30416748,26848835,0,"Paper",2018
30416748,24427167,0,"Paper",2018
30416748,28415618,0,"Paper",2018
30416748,27465405,0,"Paper",2018
30416748,28344080,0,"Paper",2018
30416748,28685964,0,"Paper",2018
30416748,26211738,0,"Paper",2018
30416748,28520103,0,"Paper",2018
30416748,26931159,0,"Paper",2018
30416748,23249747,0,"Paper",2018
30416748,27752108,0,"Paper",2018
